Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,LogSalary
Medicine,Lawyer,32.0,Male,4.0,Bachelor's,Medium,6.0,8.0,15.0,112124.0,1.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,5.04969858272846
Law,Biologist,36.0,Female,8.0,Bachelor's,Medium,10.0,1.0,62.0,36490.0,9.0,1.0,2.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,4.562173863364649
Biology,Lawyer,48.0,Male,25.0,PhD,Low,2.0,9.0,19.0,84017.0,3.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,4.924367170100015
Biology,Biologist,50.0,Female,21.0,Master's,Medium,1.0,2.0,10.0,132885.0,5.0,0.0,5.0,0.0,0.0,1.0,7.0,1.0,6.0,1.0,5.123475960740422
Arts,Doctor,53.0,Male,39.0,Master's,High,4.0,9.0,82.0,187242.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0,5.272403271337721
Computer Science,Psychologist,46.0,Female,32.0,High School,Low,8.0,1.0,41.0,133186.0,5.0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,10.0,0.0,5.124458575868103
Business,Psychologist,25.0,Male,4.0,High School,Medium,3.0,6.0,34.0,137966.0,4.0,0.0,3.0,0.0,0.0,1.0,10.0,2.0,8.0,1.0,5.139772073128157
Biology,Lawyer,51.0,Male,33.0,Master's,High,7.0,3.0,7.0,170334.0,8.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,5.231301345194432
Education,Artist,29.0,Female,11.0,PhD,Medium,10.0,3.0,91.0,81761.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,10.0,0.0,4.912546194579116
Computer Science,Economist,28.0,Male,13.0,Master's,Low,8.0,10.0,30.0,80337.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,4.904915609972551
Psychology,Biologist,38.0,Female,0.0,Bachelor's,High,5.0,10.0,34.0,108944.0,9.0,0.0,10.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,5.037203316834268
Biology,Lawyer,56.0,Female,32.0,High School,Low,6.0,5.0,15.0,62532.0,9.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,4.796102319214386
Law,Artist,20.0,Female,31.0,PhD,High,2.0,5.0,88.0,174177.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,3.0,1.0,5.240990806053037
Education,Teacher,57.0,Male,12.0,PhD,High,1.0,1.0,5.0,175919.0,8.0,0.0,7.0,0.0,0.0,1.0,8.0,0.0,9.0,1.0,5.245312747641296
Mechanical Engineering,Mechanical Engineer,23.0,Female,9.0,Master's,Medium,7.0,5.0,3.0,153273.0,3.0,0.0,5.0,1.0,0.0,1.0,10.0,0.0,6.0,0.0,5.185465657895793
Mechanical Engineering,Software Developer,50.0,Female,34.0,High School,Low,4.0,7.0,36.0,91926.0,10.0,0.0,5.0,0.0,0.0,0.0,8.0,1.0,10.0,1.0,4.963438362958846
Economics,Economist,43.0,Female,34.0,Bachelor's,Medium,6.0,10.0,91.0,175832.0,6.0,0.0,3.0,0.0,0.0,0.0,9.0,2.0,8.0,0.0,5.245097916009283
Education,Artist,42.0,Female,9.0,Master's,High,3.0,3.0,98.0,76313.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,9.0,1.0,4.882598526779927
Education,Biologist,24.0,Female,11.0,PhD,Low,7.0,6.0,73.0,102427.0,10.0,1.0,9.0,0.0,1.0,0.0,8.0,1.0,9.0,1.0,5.010414452786114
Education,Doctor,26.0,Female,34.0,PhD,Low,4.0,4.0,49.0,102287.0,7.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,5.009820441268141
Computer Science,Economist,42.0,Male,25.0,Bachelor's,Medium,4.0,3.0,13.0,40040.0,7.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,4.602494068807281
Computer Science,Software Developer,54.0,Female,38.0,High School,Low,3.0,2.0,41.0,90309.0,6.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,8.0,1.0,4.95573103332089
Economics,Doctor,26.0,Female,14.0,PhD,Medium,9.0,3.0,72.0,127081.0,3.0,0.0,10.0,1.0,0.0,0.0,3.0,2.0,8.0,0.0,5.104080623630504
Business,Economist,29.0,Female,24.0,Master's,Low,10.0,4.0,49.0,79455.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,4.900121231991279
Business,Doctor,33.0,Male,16.0,PhD,Low,7.0,1.0,41.0,50140.0,8.0,0.0,8.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,4.700184329622198
Medicine,Doctor,45.0,Male,13.0,PhD,Low,10.0,1.0,69.0,53618.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,2.0,8.0,0.0,4.729310610371158
Economics,Teacher,52.0,Male,11.0,High School,High,9.0,2.0,94.0,189711.0,8.0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,5.278092513286127
Medicine,Psychologist,49.0,Female,16.0,PhD,High,8.0,8.0,54.0,189094.0,10.0,0.0,5.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,5.276677748790932
Business,Economist,27.0,Female,14.0,Bachelor's,Low,3.0,8.0,97.0,184339.0,8.0,0.0,2.0,1.0,0.0,1.0,6.0,2.0,3.0,1.0,5.265617227204769
Law,Lawyer,20.0,Male,4.0,Bachelor's,High,10.0,3.0,63.0,192504.0,1.0,0.0,4.0,0.0,1.0,1.0,5.0,2.0,5.0,0.0,5.284439758051684
Law,Biologist,58.0,Female,29.0,Bachelor's,High,2.0,3.0,11.0,92355.0,5.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,9.0,1.0,4.965460412647163
Computer Science,Artist,22.0,Female,39.0,Master's,Low,7.0,4.0,89.0,159132.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,5.2017575211048115
Education,Biologist,37.0,Female,24.0,Master's,Medium,9.0,4.0,29.0,153670.0,5.0,0.0,3.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0,5.186589091272407
Education,Biologist,42.0,Male,27.0,High School,Low,6.0,8.0,77.0,197655.0,2.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,9.0,1.0,5.295907804992897
Business,Mechanical Engineer,32.0,Female,36.0,Master's,Medium,8.0,8.0,19.0,99549.0,1.0,0.0,6.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,4.998036901765104
Economics,Lawyer,53.0,Male,6.0,Bachelor's,High,2.0,5.0,5.0,119590.0,5.0,0.0,6.0,1.0,0.0,1.0,10.0,2.0,2.0,1.0,5.077694865886586
Mechanical Engineering,Mechanical Engineer,34.0,Male,14.0,PhD,High,1.0,2.0,96.0,172003.0,7.0,0.0,9.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,5.235536021745244
Arts,Biologist,24.0,Male,25.0,Master's,Medium,4.0,7.0,18.0,48836.0,1.0,0.0,9.0,1.0,0.0,1.0,9.0,0.0,6.0,1.0,4.688740085062586
Arts,Mechanical Engineer,21.0,Female,27.0,High School,Low,3.0,8.0,5.0,81827.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,4.912896629053049
Biology,Business Analyst,40.0,Male,16.0,PhD,Medium,1.0,1.0,34.0,132476.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,5.122137206486746
Economics,Lawyer,43.0,Male,3.0,PhD,High,2.0,9.0,63.0,108283.0,10.0,0.0,6.0,0.0,0.0,1.0,10.0,2.0,10.0,1.0,5.034560279471919
Arts,Lawyer,53.0,Female,11.0,Master's,Low,9.0,8.0,89.0,84021.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.924387846112917
Mechanical Engineering,Economist,33.0,Male,38.0,Bachelor's,High,6.0,4.0,17.0,70626.0,10.0,1.0,6.0,0.0,1.0,1.0,3.0,2.0,8.0,1.0,4.848964610086359
Business,Mechanical Engineer,40.0,Male,28.0,PhD,Medium,8.0,3.0,97.0,71811.0,9.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,4.856190974512409
Business,Business Analyst,,Female,11.0,High School,Medium,3.0,3.0,61.0,144433.0,1.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,5.0,1.0,5.159666432018421
Economics,Doctor,42.0,Female,27.0,Bachelor's,High,8.0,5.0,58.0,57326.0,2.0,0.0,6.0,1.0,0.0,0.0,5.0,2.0,9.0,0.0,4.758351639340815
Economics,Doctor,59.0,Male,36.0,Bachelor's,Low,4.0,8.0,44.0,31753.0,9.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,4.5017847633885
Mechanical Engineering,Mechanical Engineer,47.0,Female,3.0,High School,High,10.0,2.0,80.0,149097.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,7.0,0.0,5.173468905045527
Medicine,Economist,55.0,Male,1.0,Master's,Low,3.0,7.0,76.0,130290.0,5.0,0.0,4.0,1.0,0.0,0.0,9.0,1.0,5.0,1.0,5.114911084081892
Computer Science,Software Developer,39.0,Male,10.0,Bachelor's,Low,6.0,8.0,93.0,56825.0,2.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,9.0,1.0,4.754539444397008
Biology,Lawyer,48.0,Female,24.0,Bachelor's,Low,2.0,3.0,94.0,84641.0,5.0,0.0,5.0,0.0,0.0,1.0,7.0,1.0,2.0,1.0,4.927580785739272
Economics,Mechanical Engineer,35.0,Male,9.0,Bachelor's,Low,8.0,5.0,55.0,58223.0,8.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,5.0,0.0,4.765094579149493
Medicine,Software Developer,46.0,Female,21.0,High School,Low,7.0,3.0,13.0,123005.0,2.0,0.0,7.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,5.089922765327813
Business,Business Analyst,32.0,Female,2.0,Master's,High,1.0,9.0,24.0,182263.0,3.0,0.0,6.0,0.0,1.0,0.0,4.0,2.0,7.0,1.0,5.26069851436677
Business,Biologist,28.0,Male,15.0,Master's,Medium,7.0,9.0,69.0,99253.0,3.0,1.0,2.0,0.0,0.0,0.0,8.0,1.0,3.0,1.0,4.996743642525885
Medicine,Mechanical Engineer,59.0,Male,38.0,PhD,Medium,3.0,4.0,92.0,162216.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.2100936881551
Mechanical Engineering,Mechanical Engineer,26.0,Male,35.0,High School,Medium,10.0,3.0,59.0,76529.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,9.0,0.0,4.883826038465748
Psychology,Mechanical Engineer,40.0,Male,7.0,Bachelor's,Low,6.0,5.0,17.0,75534.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,4.878142483928328
Psychology,Doctor,42.0,Female,16.0,High School,Medium,9.0,7.0,33.0,176130.0,4.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,5.245833335097326
Education,Teacher,47.0,Male,31.0,PhD,Low,4.0,9.0,78.0,119527.0,1.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,7.0,1.0,5.077466019313628
Law,Mechanical Engineer,53.0,Female,32.0,PhD,Medium,5.0,4.0,84.0,90750.0,7.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,4.95784663370815
Economics,Lawyer,56.0,Male,7.0,Master's,Medium,4.0,5.0,61.0,67869.0,10.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.831671450227545
Biology,Biologist,38.0,Female,27.0,PhD,Low,7.0,1.0,16.0,59715.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,4.776083436639779
Economics,Lawyer,50.0,Male,37.0,Bachelor's,Medium,2.0,8.0,15.0,103042.0,8.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.013014279562848
Law,Teacher,47.0,Female,25.0,High School,High,6.0,9.0,62.0,47046.0,6.0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,9.0,1.0,4.672522704239881
Computer Science,Psychologist,59.0,Female,32.0,Bachelor's,High,6.0,5.0,91.0,62357.0,3.0,0.0,10.0,0.0,1.0,0.0,4.0,1.0,7.0,0.0,4.794885213078925
Psychology,Psychologist,41.0,Male,0.0,High School,High,1.0,3.0,19.0,148179.0,3.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,5.170786659578884
Computer Science,Mechanical Engineer,37.0,Female,5.0,PhD,High,10.0,4.0,32.0,183609.0,5.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,5.263893965288644
Arts,Psychologist,21.0,Male,10.0,Master's,High,10.0,3.0,86.0,48722.0,5.0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,4.6877251074396
Business,Lawyer,23.0,Male,15.0,Master's,Low,2.0,1.0,58.0,103728.0,6.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,5.0158960042588285
Computer Science,Software Developer,26.0,Female,27.0,Master's,High,7.0,10.0,14.0,59030.0,4.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,4.771072783221195
Mechanical Engineering,Business Analyst,55.0,Female,2.0,Bachelor's,Low,8.0,2.0,56.0,43346.0,6.0,0.0,5.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,4.636949026654694
Arts,Psychologist,45.0,Male,12.0,Bachelor's,Low,2.0,7.0,36.0,184736.0,6.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,5.266551535818537
Education,Teacher,28.0,Female,20.0,High School,Medium,6.0,4.0,58.0,129821.0,1.0,0.0,10.0,1.0,0.0,0.0,2.0,2.0,10.0,0.0,5.113344950141039
Medicine,Economist,40.0,Male,31.0,Master's,Medium,2.0,2.0,61.0,77342.0,1.0,1.0,8.0,0.0,0.0,0.0,5.0,1.0,9.0,1.0,4.888415398377507
Education,Software Developer,45.0,Male,11.0,High School,Low,1.0,1.0,97.0,95206.0,5.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,4.978664319022924
Arts,Economist,50.0,Female,3.0,PhD,Low,7.0,10.0,58.0,179711.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,5.254574660821228
Medicine,Mechanical Engineer,58.0,Male,2.0,Master's,High,6.0,9.0,89.0,47111.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,9.0,1.0,4.673122322872762
Arts,Doctor,40.0,Male,2.0,High School,High,4.0,1.0,26.0,143204.0,8.0,0.0,4.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,5.15595514893319
Business,Lawyer,33.0,Female,15.0,High School,Low,7.0,3.0,43.0,181391.0,7.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.258615735054272
Mechanical Engineering,Economist,52.0,Male,14.0,Bachelor's,Low,5.0,4.0,90.0,170752.0,4.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,10.0,0.0,5.232365799228399
Psychology,Business Analyst,24.0,Female,19.0,PhD,High,10.0,9.0,44.0,189501.0,6.0,0.0,3.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,5.277611506089506
Mechanical Engineering,Business Analyst,28.0,Female,20.0,Bachelor's,Medium,1.0,10.0,46.0,146668.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,5.166335369880232
Business,Business Analyst,24.0,Male,26.0,High School,High,9.0,1.0,69.0,157976.0,4.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,5.198591113161567
Computer Science,Business Analyst,44.0,Male,13.0,PhD,Low,9.0,7.0,36.0,43936.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.642820515556661
Biology,Software Developer,42.0,Male,5.0,Bachelor's,Medium,6.0,9.0,67.0,59144.0,8.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,4.771910693189461
Medicine,Lawyer,38.0,Female,0.0,Bachelor's,Medium,6.0,10.0,44.0,162192.0,7.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.210029429150484
Mechanical Engineering,Economist,24.0,Female,39.0,High School,Low,2.0,8.0,48.0,126093.0,5.0,0.0,9.0,1.0,0.0,0.0,9.0,0.0,9.0,1.0,5.1006909775662965
Arts,Economist,46.0,Male,11.0,Bachelor's,High,5.0,1.0,81.0,93271.0,10.0,0.0,4.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,4.969746633052698
Mechanical Engineering,Teacher,58.0,Male,32.0,Bachelor's,Low,10.0,6.0,27.0,,7.0,0.0,10.0,0.0,0.0,0.0,4.0,1.0,9.0,0.0,
Education,Mechanical Engineer,37.0,Female,18.0,High School,Medium,7.0,4.0,12.0,81425.0,8.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,4.910757767236911
Computer Science,Psychologist,35.0,Male,13.0,Bachelor's,Medium,4.0,9.0,98.0,199914.0,3.0,0.0,2.0,0.0,1.0,0.0,6.0,2.0,2.0,1.0,5.300843208874724
Arts,Lawyer,44.0,Male,3.0,PhD,High,8.0,7.0,44.0,30814.0,10.0,1.0,2.0,1.0,0.0,1.0,6.0,2.0,10.0,1.0,4.488748078231586
Economics,Software Developer,53.0,Male,5.0,PhD,Low,9.0,2.0,57.0,96741.0,2.0,0.0,9.0,0.0,0.0,0.0,9.0,2.0,9.0,0.0,4.985610572325098
Business,Doctor,27.0,Male,30.0,High School,Low,5.0,1.0,57.0,88293.0,3.0,0.0,10.0,1.0,0.0,0.0,9.0,1.0,8.0,0.0,4.945926273431698
Law,Artist,44.0,Male,8.0,PhD,Low,1.0,6.0,28.0,39223.0,10.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,4.593540807934989
Computer Science,Business Analyst,47.0,Female,14.0,Master's,Medium,6.0,7.0,48.0,127409.0,6.0,0.0,5.0,1.0,0.0,0.0,4.0,2.0,3.0,0.0,5.105200107059638
Computer Science,Artist,28.0,Female,1.0,PhD,Medium,6.0,7.0,13.0,72464.0,3.0,1.0,10.0,0.0,0.0,1.0,7.0,0.0,5.0,1.0,4.860122303338882
Economics,Mechanical Engineer,26.0,Female,27.0,Bachelor's,Medium,4.0,3.0,25.0,71430.0,6.0,1.0,8.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,4.853880650124542
Education,Artist,25.0,Male,36.0,Bachelor's,High,6.0,7.0,36.0,181136.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0,5.258004773050617
Arts,Software Developer,21.0,Female,26.0,Bachelor's,Medium,3.0,10.0,19.0,81663.0,2.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,4.912025330271203
Economics,Artist,48.0,Female,17.0,High School,Low,5.0,7.0,74.0,142696.0,10.0,0.0,10.0,1.0,0.0,1.0,10.0,0.0,3.0,0.0,5.154411799307532
Economics,Lawyer,23.0,Male,36.0,Master's,High,5.0,4.0,44.0,58517.0,3.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,4.767282052982277
Medicine,Artist,37.0,Female,18.0,High School,High,3.0,1.0,5.0,112368.0,8.0,1.0,2.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,5.050642651072212
Psychology,Economist,27.0,Female,17.0,High School,Low,2.0,1.0,10.0,80374.0,10.0,0.0,9.0,0.0,0.0,1.0,8.0,0.0,2.0,1.0,4.905115582545857
Education,Biologist,43.0,Female,15.0,Master's,Low,6.0,6.0,32.0,129878.0,3.0,0.0,9.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,5.113535592275711
Mechanical Engineering,Economist,40.0,Male,33.0,PhD,High,10.0,6.0,18.0,191431.0,1.0,1.0,6.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,5.282012268021715
Mechanical Engineering,Business Analyst,35.0,Female,33.0,Master's,Medium,3.0,9.0,57.0,85149.0,9.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,10.0,1.0,4.930179551922436
Arts,Mechanical Engineer,34.0,Male,21.0,High School,Medium,2.0,10.0,94.0,72851.0,8.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,9.0,1.0,4.862435517554206
Law,Psychologist,38.0,Female,2.0,PhD,High,4.0,3.0,80.0,123366.0,6.0,0.0,10.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,5.0911954834656665
Economics,Doctor,34.0,Female,32.0,High School,Low,8.0,7.0,73.0,77234.0,10.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,4.887808527819623
Medicine,Lawyer,35.0,Female,34.0,High School,Low,8.0,2.0,95.0,30184.0,4.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,4.479776792192939
Computer Science,Teacher,41.0,Female,33.0,Master's,Medium,7.0,9.0,22.0,44426.0,8.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.647637212270114
Education,Psychologist,33.0,Male,33.0,PhD,Medium,6.0,7.0,5.0,117787.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0710973605715015
Medicine,Biologist,22.0,Male,30.0,Master's,High,7.0,3.0,20.0,36125.0,5.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.5578078557646045
Mechanical Engineering,Mechanical Engineer,58.0,Male,30.0,PhD,Medium,3.0,10.0,37.0,100856.0,8.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,5.0037017398257335
Medicine,Biologist,51.0,Female,13.0,Bachelor's,Medium,6.0,10.0,12.0,193975.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,5.2877457605401235
Computer Science,Mechanical Engineer,46.0,Male,32.0,High School,High,7.0,3.0,46.0,84039.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,4.924480875991581
Business,Lawyer,37.0,Female,31.0,High School,High,2.0,7.0,65.0,37131.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,7.0,1.0,4.569736645661217
Medicine,Lawyer,55.0,Male,5.0,PhD,High,3.0,4.0,88.0,157845.0,5.0,0.0,9.0,1.0,0.0,0.0,4.0,1.0,10.0,1.0,5.198230829454073
Psychology,Software Developer,28.0,Male,0.0,Bachelor's,High,5.0,4.0,57.0,120728.0,2.0,1.0,3.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0,5.081808006097712
Economics,Economist,32.0,Female,38.0,High School,Low,5.0,1.0,28.0,31745.0,10.0,0.0,2.0,0.0,0.0,1.0,10.0,1.0,5.0,1.0,4.501675331410371
Biology,Doctor,52.0,Female,1.0,Master's,Low,6.0,2.0,16.0,135363.0,10.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.131499970909251
Biology,Doctor,32.0,Female,21.0,Master's,Low,6.0,5.0,6.0,163007.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,9.0,0.0,5.212206254686766
Biology,Doctor,22.0,Female,2.0,Master's,Low,2.0,5.0,64.0,40270.0,5.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,4.6049816296074315
Arts,Artist,36.0,Female,12.0,Master's,Medium,7.0,2.0,32.0,72591.0,10.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,4.860882779203829
Medicine,Lawyer,55.0,Female,33.0,PhD,Low,2.0,6.0,92.0,115222.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,5.061535409351065
Mechanical Engineering,Teacher,57.0,Male,15.0,Bachelor's,High,8.0,1.0,1.0,173090.0,5.0,0.0,9.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,5.2382719779258275
Mechanical Engineering,Artist,21.0,Male,33.0,Bachelor's,Low,7.0,6.0,28.0,91134.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,4.959680432490147
Arts,Teacher,24.0,Male,4.0,PhD,Low,5.0,5.0,29.0,178369.0,6.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,5.251319377513215
Psychology,Doctor,48.0,Male,29.0,PhD,Low,1.0,1.0,29.0,106788.0,8.0,1.0,10.0,1.0,0.0,0.0,8.0,0.0,4.0,1.0,5.028522452818122
Business,Biologist,36.0,Male,24.0,PhD,High,1.0,6.0,99.0,132067.0,8.0,0.0,8.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,5.120794312631109
Law,Teacher,46.0,Male,9.0,Master's,Low,10.0,8.0,97.0,197437.0,3.0,0.0,1.0,1.0,,0.0,9.0,0.0,6.0,0.0,5.295428543420083
Mechanical Engineering,Artist,37.0,Male,17.0,High School,Medium,4.0,3.0,5.0,125830.0,10.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,5.0997841966035775
Education,Teacher,27.0,Female,20.0,High School,High,6.0,10.0,13.0,56440.0,6.0,0.0,4.0,0.0,1.0,1.0,6.0,1.0,9.0,0.0,4.75158700508231
Business,Biologist,22.0,Female,7.0,Bachelor's,Low,9.0,10.0,43.0,89516.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,4.9519006676139075
Mechanical Engineering,Lawyer,45.0,Female,34.0,PhD,Medium,9.0,9.0,85.0,157099.0,9.0,0.0,8.0,0.0,0.0,0.0,9.0,2.0,5.0,0.0,5.196173420585078
Biology,Lawyer,25.0,Male,16.0,High School,Medium,1.0,2.0,90.0,115017.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,10.0,1.0,5.060762035662704
Business,Teacher,47.0,Male,9.0,Bachelor's,Low,9.0,1.0,5.0,44628.0,8.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,10.0,1.0,4.6496074244065975
Computer Science,Biologist,37.0,Male,3.0,Bachelor's,Low,9.0,5.0,40.0,86999.0,9.0,0.0,9.0,1.0,0.0,0.0,6.0,2.0,5.0,0.0,4.939514260699332
Psychology,Lawyer,56.0,Female,5.0,Bachelor's,High,3.0,6.0,66.0,155305.0,8.0,0.0,8.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,5.191185437940112
Law,Biologist,53.0,Male,35.0,Master's,High,6.0,8.0,34.0,169374.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,5.228846744110649
Business,Doctor,42.0,Male,34.0,Master's,Medium,10.0,7.0,87.0,170089.0,5.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,5.2306762278173045
Psychology,Artist,55.0,Female,32.0,Master's,High,8.0,2.0,93.0,175174.0,6.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,5.243469646954987
Economics,Business Analyst,21.0,Female,15.0,High School,Medium,1.0,8.0,68.0,153089.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,8.0,1.0,5.184943986185343
Business,Teacher,26.0,Female,37.0,Master's,High,1.0,2.0,46.0,166362.0,2.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,10.0,1.0,5.221054132802194
